sweep_id,sweep_name,seed,img_s,use_warmup,warmup_epochs,acc,nll,ece,cv,gini,overflow,routing_entropy,eeu,nmi,nmi_top1,nmi_topk_soft,router_mode,elbo_samples,use_control_variate,beta_kl,kl_anneal,tau,top_k,capacity,weight_decay,w_importance,w_load
0,baseline,0,2795.233307905566,False,0,0.5205000042915344,2.6011979579925537,0.23906627297401428,0.5047606372216514,0.24224704336399475,0.2568359375,0.8351701304316521,1.0,0.2458672532006953,0.2458672532006953,0.2256698598338719,expected,2,True,1e-06,5000,1.2,2,1.0,0.02,0.0,0.0
0,baseline,1,2728.528371570399,False,0,0.5144000053405762,2.5947022438049316,0.24021033942699432,0.3982420549001958,0.1754149945275447,0.19697265625,0.9146983698010445,1.0,0.2579969804278891,0.2579969804278891,0.23475412257602934,expected,2,True,1e-06,5000,1.2,2,1.0,0.02,0.0,0.0
1,mc_elbo_cv,0,1228.6448152157598,False,0,0.5011000037193298,2.6134047508239746,0.10311899334192276,0.4417544712380206,0.2381398789046374,0.29033203125,0.25078040473163127,1.0,0.34669448222967747,0.34669448222967747,0.33500086878647756,mc,4,True,1e-06,5000,1.2,2,1.0,0.02,0.0,0.0
1,mc_elbo_cv,1,1240.9143909410045,False,0,0.4869000017642975,2.6634786128997803,0.10126914083957672,0.3041449667571407,0.1564058508697239,0.19716796875,0.24528243727982044,1.0,0.35008100793044067,0.35008100793044067,0.3418910491945879,mc,4,True,1e-06,5000,1.2,2,1.0,0.02,0.0,0.0
2,mc_elbo_no_cv,0,1284.928402050532,False,0,0.5121999979019165,2.6408708095550537,0.24758116900920868,0.600616326757871,0.28637698686938495,0.29345703125,0.3591217637062073,0.875,0.24923051758226453,0.24923051758226453,0.23862390807297382,mc,4,False,1e-06,5000,1.2,2,1.0,0.02,0.0,0.0
2,mc_elbo_no_cv,1,1285.4348203628997,False,0,0.5182999968528748,2.5957119464874268,0.2368326485157013,0.5668203120335655,0.27084459916182235,0.27763671875,0.3786215104162693,0.875,0.2387446210121725,0.2387446210121725,0.22841267079738012,mc,4,False,1e-06,5000,1.2,2,1.0,0.02,0.0,0.0
3,no_kl,0,2716.8966968945033,False,0,0.5091999769210815,2.6375904083251953,0.245462566614151,0.5616059159642613,0.2650447275684467,0.2794921875,0.775285629928112,1.0,0.25619658461184625,0.25619658461184625,0.2367822134355656,expected,2,True,0.0,5000,1.2,2,1.0,0.02,0.0,0.0
3,no_kl,1,2780.639687213631,False,0,0.5181999802589417,2.6942338943481445,0.24471718072891235,0.5256196990057278,0.24674256383258752,0.2580078125,0.8191703706979752,1.0,0.2342612595118964,0.2342612595118964,0.21251927617740102,expected,2,True,0.0,5000,1.2,2,1.0,0.02,0.0,0.0
4,kl_stronger,0,2719.328201121766,False,0,0.5062999725341797,2.7350411415100098,0.2526681423187256,0.4164904869626619,0.19140867353269636,0.21298828125,0.9816178321838379,1.0,0.2577210637208404,0.2577210637208404,0.2312499290368948,expected,2,True,1e-05,5000,1.2,2,1.0,0.02,0.0,0.0
4,kl_stronger,1,2721.359281199524,False,0,0.5148000121116638,2.6544594764709473,0.24338054656982422,0.4621391635122002,0.2116330390920555,0.2255859375,0.844892156124115,1.0,0.25604180368065704,0.25604180368065704,0.23326883002469306,expected,2,True,1e-05,5000,1.2,2,1.0,0.02,0.0,0.0
5,tau_low,0,2773.3776965852867,False,0,0.5188999772071838,2.58731746673584,0.23887278139591217,0.515084401161809,0.23937727745965642,0.249609375,0.647713041305542,1.0,0.254918343793428,0.254918343793428,0.23512329718841996,expected,2,True,1e-06,5000,0.7,2,1.0,0.02,0.0,0.0
5,tau_low,1,2743.7115860948966,False,0,0.5178999900817871,2.5625367164611816,0.2182944267988205,0.5927181591412076,0.2812930085328929,0.2904296875,0.5897837623953819,1.0,0.23780002801015254,0.23780002801015254,0.22037945266982636,expected,2,True,1e-06,5000,0.7,2,1.0,0.02,0.0,0.0
6,tau_high,0,2726.477034838541,False,0,0.5120999813079834,2.7460222244262695,0.24866580963134766,0.49166454063630843,0.2262389408898577,0.23837890625,1.076186154782772,1.0,0.25194163323090807,0.25194163323090807,0.22525845727941488,expected,2,True,1e-06,5000,2.0,2,1.0,0.02,0.0,0.0
6,tau_high,1,2731.217311533978,False,0,0.5131999850273132,2.729625701904297,0.24531441926956177,0.46254198062681534,0.21964741544352265,0.23486328125,1.055752196907997,1.0,0.25868272481271226,0.25868272481271226,0.23291704936311583,expected,2,True,1e-06,5000,2.0,2,1.0,0.02,0.0,0.0
7,top1,0,2720.182238430225,False,0,0.3723999857902527,2.95947003364563,0.1448536366224289,0.40957480463823026,0.22494447529150471,0.296484375,2.7709174931049345,1.0,0.20405543476292592,0.20405543476292592,0.2040554380032254,expected,2,True,1e-06,5000,1.2,1,1.0,0.02,0.0,0.0
7,top1,1,2712.4710802811182,False,0,0.40689998865127563,2.8068623542785645,0.1595301330089569,0.3026081061812881,0.1632262996941896,0.23359375,2.7708784520626066,1.0,0.22659525702552233,0.22659525702552233,0.22659526025548082,expected,2,True,1e-06,5000,1.2,1,1.0,0.02,0.0,0.0
